player_id,web_name,full_name,team_id,team_name,position,now_cost,status,selected_percent,form,points_per_game,total_points,minutes_season,ict_index,influence,creativity,threat,chance_play_next,gw_xmins,gw_fixture,gw_fdr,gw_is_home,news,news_added,gw,generated_utc
51,Iling Jr,Samuel Iling-Junior,2,Aston Villa,MID,55,u,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,has joined West Bromwich Albion on loan for the rest of the season,2025-09-22T21:15:59.838578Z,11,2025-11-14T06:38:28.636215
53,Malen,Donyell Malen,2,Aston Villa,MID,51,a,0.7,2.5,2.9,32,332,27.9,113.6,47.2,126.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
54,McGinn,John McGinn,2,Aston Villa,MID,54,a,0.6,2.2,2.7,30,837,41.4,135.6,208.8,68.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
55,Barkley,Ross Barkley,2,Aston Villa,MID,48,a,0.0,2.2,2.0,10,80,13.4,51.8,29.3,53.0,100.0,80.0,Bournemouth (H),3,1,,2025-08-10T22:00:04.469618Z,11,2025-11-14T06:38:28.636215
56,Barrenechea,Enzo Barrenechea,2,Aston Villa,MID,50,u,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,Season-long loan to Benfica,2025-07-22T13:50:13.193555Z,11,2025-11-14T06:38:28.636215
57,Dobbin,Lewis Dobbin,2,Aston Villa,MID,50,u,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,Has joined Preston North End on loan for the rest of the season.,2025-08-26T13:44:19.058961Z,11,2025-11-14T06:38:28.636215
58,Kamara,Boubacar Kamara,2,Aston Villa,MID,49,a,0.2,2.0,2.6,23,644,28.9,147.8,110.1,31.0,100.0,80.0,Bournemouth (H),3,1,,2025-08-23T22:30:05.846310Z,11,2025-11-14T06:38:28.636215
59,Onana,Amadou Onana,2,Aston Villa,MID,48,a,0.7,4.2,3.4,24,485,20.5,146.0,35.2,25.0,100.0,80.0,Bournemouth (H),3,1,,2025-08-29T18:30:08.037987Z,11,2025-11-14T06:38:28.636215
60,Broggio,Ben Broggio,2,Aston Villa,MID,45,a,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
61,Dendoncker,Leander Dendoncker,2,Aston Villa,MID,45,u,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,Has joined Real Oviedo permanently.,2025-08-20T13:31:56.822248Z,11,2025-11-14T06:38:28.636215
62,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,2,Aston Villa,MID,45,a,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
63,Young,Kadan Young,2,Aston Villa,MID,44,a,0.6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
64,Watkins,Ollie Watkins,2,Aston Villa,FWD,85,a,6.4,1.8,2.5,27,866,38.1,70.4,93.6,218.0,100.0,80.0,Bournemouth (H),3,1,,2025-10-13T11:00:08.391124Z,11,2025-11-14T06:38:28.636215
65,Redmond,Zépiqueno Redmond,2,Aston Villa,FWD,45,u,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,has joined Huddersfield Town on loan for the rest of the season.,2025-09-02T13:26:36.441136Z,11,2025-11-14T06:38:28.636215
389,Elliott,Harvey Elliott,2,Aston Villa,MID,54,a,0.2,0.0,1.0,4,97,4.4,8.6,17.8,18.0,100.0,80.0,Bournemouth (H),3,1,,2025-10-25T23:00:08.101116Z,11,2025-11-14T06:38:28.636215
456,Sancho,Jadon Sancho,2,Aston Villa,MID,58,a,0.2,0.8,1.0,4,87,11.1,14.6,29.8,66.0,100.0,80.0,Bournemouth (H),3,1,,2025-10-01T21:00:06.405442Z,11,2025-11-14T06:38:28.636215
677,Guessand,Evann Guessand,2,Aston Villa,MID,62,a,0.0,1.2,1.4,14,420,14.7,52.2,32.1,65.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
688,Wright,James Wright,2,Aston Villa,GK,40,a,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
701,Rowe,Triston Rowe,2,Aston Villa,DEF,40,u,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,has joined Annecy on loan for the rest of the season.,2025-09-22T21:15:59.825051Z,11,2025-11-14T06:38:28.636215
702,Burrowes,Bradley Burrowes,2,Aston Villa,MID,45,a,0.1,0.0,1.0,1,16,0.0,0.0,0.3,0.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
703,Proctor,Sam Proctor,2,Aston Villa,GK,40,a,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
710,Patterson,Travis Patterson,2,Aston Villa,DEF,39,a,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
719,Lindelöf,Victor Lindelöf,2,Aston Villa,DEF,45,a,0.0,0.0,1.0,3,21,0.4,3.0,0.4,0.0,100.0,80.0,Bournemouth (H),3,1,,2025-09-18T04:00:08.433120Z,11,2025-11-14T06:38:28.636215
183,Weiss,Max Weiß,3,Burnley,GK,44,a,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
184,Green,Etienne Green,3,Burnley,GK,40,u,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,has joined FC Fredericia permanently.,2025-09-02T12:51:25.510909Z,11,2025-11-14T06:38:28.636215
185,Hladký,Václav Hladký,3,Burnley,GK,40,a,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
186,Roberts,Connor Roberts,3,Burnley,DEF,44,i,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,Achilles injury - Unknown return date,2025-08-22T12:30:06.986449Z,11,2025-11-14T06:38:28.636215
187,Walker,Kyle Walker,3,Burnley,DEF,44,a,1.6,4.5,2.6,29,990,25.6,189.2,52.4,14.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
188,Delcroix,Hannes Delcroix,3,Burnley,DEF,39,a,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
189,Dodgson,Owen Dodgson,3,Burnley,DEF,40,u,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,Has joined Stockport County on loan for the rest of the season.,2025-08-11T01:08:30.737822Z,11,2025-11-14T06:38:28.636215
190,Ekdal,Hjalmar Ekdal,3,Burnley,DEF,40,a,1.1,0.2,2.9,20,533,21.7,130.2,26.4,61.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
191,Estève,Maxime Estève,3,Burnley,DEF,40,a,11.9,3.2,2.5,28,982,29.6,217.2,39.0,38.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
192,Hartman,Quilindschy Hartman,3,Burnley,DEF,40,a,1.0,3.8,3.3,36,977,45.5,242.4,176.3,36.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
193,Humphreys,Bashir Humphreys,3,Burnley,DEF,40,a,0.1,0.0,0.0,0,2,0.0,0.2,0.0,0.0,100.0,80.0,West Ham (A),2,0,,2025-08-10T22:00:04.557380Z,11,2025-11-14T06:38:28.636215
194,Jordan,Jordan Beyer,3,Burnley,DEF,40,i,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,Hamstring injury - Unknown return date,2025-08-22T12:30:07.019474Z,11,2025-11-14T06:38:28.636215
195,Lucas Pires,Lucas Pires Silva,3,Burnley,DEF,39,a,0.2,0.2,1.0,1,9,1.9,4.4,14.5,0.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
196,Sambo,Shurandy Sambo,3,Burnley,DEF,40,u,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,Has joined Sparta Rotterdam on loan for the rest of the season.,2025-08-19T13:36:42.853472Z,11,2025-11-14T06:38:28.636215
197,Sonne,Oliver Sonne,3,Burnley,DEF,39,a,0.1,0.0,1.0,3,102,3.0,7.6,16.4,6.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
198,Tuanzebe,Axel Tuanzebe,3,Burnley,DEF,39,a,1.8,3.8,3.2,16,450,11.9,113.6,4.1,0.0,100.0,80.0,West Ham (A),2,0,,2025-08-22T12:30:07.036752Z,11,2025-11-14T06:38:28.636215
199,Worrall,Joe Worrall,3,Burnley,DEF,39,a,0.2,0.0,1.0,4,19,1.2,11.2,0.3,0.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
200,Anthony,Jaidon Anthony,3,Burnley,MID,56,a,5.4,2.0,4.5,49,886,59.8,235.6,159.7,204.0,100.0,80.0,West Ham (A),2,0,,2025-10-07T11:30:07.662899Z,11,2025-11-14T06:38:28.636215
201,Benson,Manuel Benson Hedilazio,3,Burnley,MID,54,u,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,has joined Swansea City on loan for the rest of the season.,2025-09-22T21:45:34.872207Z,11,2025-11-14T06:38:28.636215
202,Bruun Larsen,Jacob Bruun Larsen,3,Burnley,MID,53,a,0.0,1.2,1.8,16,411,16.9,49.0,59.9,60.0,100.0,80.0,West Ham (A),2,0,,2025-09-14T22:00:08.065375Z,11,2025-11-14T06:38:28.636215
203,Boateng,Enock Agyei,3,Burnley,MID,48,a,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
204,Churlinov,Darko Churlinov,3,Burnley,MID,49,u,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,has joined Kocaelispor  permanently.,2025-09-02T12:51:25.524903Z,11,2025-11-14T06:38:28.636215
205,Cullen,Josh Cullen,3,Burnley,MID,50,a,2.3,4.0,4.8,53,941,50.3,273.6,150.3,77.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
206,Edwards,Marcus Edwards,3,Burnley,MID,47,a,0.1,0.5,1.0,3,22,2.6,3.2,1.4,24.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
207,Hannibal,Hannibal Mejbri,3,Burnley,MID,48,a,0.1,2.2,2.1,21,287,12.2,42.8,59.8,20.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
208,Koleosho,Luca Koleosho,3,Burnley,MID,50,u,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,Has joined Espanyol on loan for the rest of the season.,2025-08-22T14:15:37.649817Z,11,2025-11-14T06:38:28.636215
209,Laurent,Josh Laurent,3,Burnley,MID,49,a,0.0,1.0,1.5,15,557,12.9,71.0,24.2,32.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
210,Tchaouna,Loum Tchaouna,3,Burnley,MID,49,a,0.0,2.2,2.2,22,435,13.8,58.6,35.0,44.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
211,A.Ramsey,Aaron Ramsey,3,Burnley,MID,44,u,2.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,has joined Leicester City on loan for the rest of the season.,2025-09-02T12:51:25.540742Z,11,2025-11-14T06:38:28.636215
212,Adewumi,Oluwaseun Adewumi,3,Burnley,MID,45,u,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,Has joined Cercle Brugge on loan for the rest of the season.,2025-08-15T12:03:26.649417Z,11,2025-11-14T06:38:28.636215
213,Banel,Jaydon Banel,3,Burnley,MID,45,a,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
214,Trésor,Mike Trésor Ndayishimiye,3,Burnley,MID,44,a,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
215,Flemming,Zian Flemming,3,Burnley,FWD,53,a,0.3,5.2,3.1,25,343,26.1,129.8,31.2,105.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
216,Amdouni,Zeki Amdouni,3,Burnley,FWD,48,i,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham (A),2,0,Knee injury - Unknown return date,2025-08-10T22:00:04.567659Z,11,2025-11-14T06:38:28.636215
217,Foster,Lyle Foster,3,Burnley,FWD,50,a,1.6,1.8,3.5,28,578,27.4,117.2,76.5,84.0,100.0,80.0,West Ham (A),2,0,,2025-10-14T13:00:06.552171Z,11,2025-11-14T06:38:28.636215
218,Barnes,Ashley Barnes,3,Burnley,FWD,43,a,1.3,0.2,1.0,1,7,0.1,0.2,0.3,0.0,,0.0,West Ham (A),2,0,,,11,2025-11-14T06:38:28.636215
